town,state,name,capacity
Aberdeen,MD,Ripken Stadium,6300
Aberdeen,SD,Wachs Arena,8000
Abilene,TX,Wildcat Stadium,12000
Abilene,TX,Moody Coliseum,4600
Abilene,TX,Crutcher Scott Field,4000
Addison,TX,Loos Field House,7500
Adelanto,CA,Adelanto Stadium,3808
Aiken,SC,Convocation Center,3600
Akron,OH,InfoCision Stadium,27881
Akron,OH,Canal Park,7630
Akron,OH,James A. Rhodes Arena,5500
Albany,GA,ASU Coliseum,10000
Albany,NY,Times Union Center,15229
Albany,NY,Tom & Mary Casey Stadium,8500
Albany,NY,SEFCU Arena,4538
Albuquerque,NM,Dreamstyle Stadium,39224
Albuquerque,NM,Dreamstyle Arena,15411
Albuquerque,NM,Isotopes Park,11124
Albuquerque,NM,Tingley Coliseum,9286
Albuquerque,NM,Johnson Center,4800
Alcorn,MS,Casem Stadium,22500
Alcorn,MS,Davey L. Whitney Complex,7500
Allen,TX,Allen Event Center,6200
Allendale,MI,Lubbers Stadium,10440
Allendale,MI,GVSU Fieldhouse Arena,4200
Allentown,PA,PPL Center,8420
Allentown,PA,Cola Park,8101
Allentown,PA,ECTB Stadium,4600
Allentown,PA,Memorial Hall,3529
Altoona,PA,Mansion Park Stadium,10400
Altoona,PA,Peoples Natural Gas Field,7210
Amarillo,TX,Hodgetown,7000
Amarillo,TX,Cal Farley Coliseum,4870
Ames,IA,Jack Trice Stadium,61500
Ames,IA,Hilton Coliseum,14356
Amherst,MA,McGuirk Stadium,17000
Amherst,MA,Mullins Center,9493
Amherst,NY,UB Stadium,33519
Amherst,NY,Alumni Arena,6783
Anaheim,CA,Angel Stadium,45447
Anaheim,CA,Honda Center,17174
Anaheim,CA,Anaheim Arena,7500
Anchorage,AK,Alaska Airlines Center,5600
Anchorage,AK,Mulcahy Stadium,3500
Angola,IN,MTI Center,3500
Annapolis,MD,Marine Corps Memorial Stadium,34000
Annapolis,MD,Alumni Hall,5710
Ann Arbor,MI,Michigan Stadium,107601
Ann Arbor,MI,Crisler Center,12707
Ann Arbor,MI,Yost Ice Arena,5800
Ann Arbor,MI,Ray Fisher Stadium,4000
Appleton,WI,Fox Cities Stadium,5900
Arkadelphia,AR,Haygood Stadium,9600
Arlington,TX,AT&T Stadium,85000
Arlington,TX,Globe Life Park,25000
Arlington,TX,College Park Center,7000
Asheville,NC,U.S. Cellular Center,6300
Asheville,NC,McCormick Field,4000
Athens,GA,Sanford Stadium,92746
Athens,GA,Stegeman Coliseum,10523
Athens,OH,Peden Stadium,24000
Athens,OH,Convocation Center,13080
Atlanta,GA,Benz Stadium,75000
Atlanta,GA,Bobby Dodd Stadium,55000
Atlanta,GA,Truist Park,41149
Atlanta,GA,Georgia State Stadium,25000
Atlanta,GA,State Farm Arena,16600
Atlanta,GA,B.T. Harvey Stadium,9000
Atlanta,GA,McCamish Pavilion,8600
Atlanta,GA,Forbes Arena,6000
Atlanta,GA,Russ Chandler Stadium,4157
Atlanta,GA,Georgia State Sports Arena,3854
Atlantic City,NJ,Boardwalk Hall,10075
Auburn,AL,Hare Stadium,87451
Auburn,AL,Auburn Arena,9121
Auburn,AL,Plainsman Park,4096
Augusta,GA,Lake Olmstead Stadium,4822
Augusta,ME,Augusta Civic Center,6777
Augusta,NJ,Skylands Stadium,4200
Austin,TX,Texas Memorial Stadium,100119
Austin,TX,Mike A. Myers Stadium and Soccer Field,20000
 Austin,TX,Frank Erwin Center,16540
Austin,TX,Falk Field,7373
Austin,TX,Leudecke Arena,6400
Austin,TX,Gregory Gym,4000
Avon,OH,Sprenger Stadium,5000
Azusa,CA,Felix Event Center,3500
Bakersfield,CA,Bakersfield Memorial Stadium,20000
Bakersfield,CA,Rabobank Arena,8751
Bakersfield,CA,Sam Lynn Ballpark,3500
Baltimore,MD,M&T Bank Stadium,71008
Baltimore,MD,Oriole Park at Camden Yards,45971
Baltimore,MD,Hughes Stadium,10000
Baltimore,MD,Homewood Field,8500
Baltimore,MD,Talmadge Hill Field House,4250
Baltimore,MD,Physical Education Complex,4100
Bangor,ME,Cross Insurance Center,5800
Barrie,ON,Barrie Molson Centre,4195
Baton Rouge,LA,Tiger Stadium,102321
Baton Rouge,LA,A.W. Mumford Stadium,28500
 Baton Rouge,LA,Pete Maravich Assembly Center,13215
Baton Rouge,LA,Alex Box Stadium,10326
Baton Rouge,LA,F.G. Clark Activity Center,7500
Beaumont,TX,Provost Umphrey Stadium,16000
Beaumont,TX,Montagne Center,10080
Beaumont,TX,Beck Stadium,3500
Belgrade,MT,Belgrade Special Events Center,4800
Belleville,ON,CAAArena,4350
Beloit,WI,Pohlman Field,3501
Bemidji,MN,Sanford Center,4373
Berkeley,CA,California Memorial Stadium,62467
Berkeley,CA,Edwards Stadium,22000
Berkeley,CA,Haas Pavilion,11858
Bethany,OK,Sawyer Center,5000
Bethlehem,PA,Goodman Stadium,16000
Bethlehem,PA,BASD Stadium,14000
Bethlehem,PA,Stabler Arena,5600
Billings,MT,First Interstate Arena,10500
Biloxi,MS,MGM Park,5000
Binghamton,NY,NYSEG Stadium,6012
Binghamton,NY,Floyd L. Maines Veterans Memorial Arena,4897
Birmingham,AL,Legion Field,71594
Birmingham,AL,Rickwood Field,10000
Birmingham,AL,Legacy Arena at the BJCC,17400
Birmingham,AL,Regions Field,8500
Birmingham,AL,Bartow Arena,8500
Birmingham,AL,Bill Harris Arena,5000
Birmingham,AL,Pete Hanna Center,5000
Bismarck,ND,Bismarck Event Center,10100
Blacksburg,VA,Lane Stadium,65632
Blacksburg,VA,Cassell Coliseum,9265
Bloomington,IN,Memorial Stadium,52656
Bloomington,IN,Assembly Hall,17222
Bluefield,WV,Mitchell Stadium,10000
Boca Raton,FL,FAU Stadium,29419
Boiling Springs,NC,Spangler Stadium,9000
Boiling Springs,NC,Paul Porter Arena,3500
Boise,ID,Albertsons Stadium,36387
Boise,ID,ExtraMile Arena,12480
Boise,ID,CenturyLink Arena,5000
Boise,ID,Memorial Stadium,3500
Boone,NC,Kidd Brewer Stadium,23150
Boone,NC,Holmes Center,8325
Boonville,IN,Boonville High School Gym,5650
Bossier City,LA,CenturyLink Center,14000
Boston,MA,Fenway Park,37731
Boston,MA,Harvard Stadium,22000
Boston,MA,TD Garden,17565
Boston,MA,Nickerson Field,10412
Boston,MA,Agganis Arena,6150
Boston,MA,Matthews Arena,4666
Boulder,CO,Folsom Field,50183
Boulder,CO,CU Events Center,11064
Bowie,MD,Prince George’s Stadium,10000
Bowling Green,KY,Smith Stadium,22113
Bowling Green,KY,E.A. Diddle Arena,7523
Bowling Green,KY,Bowling Green Ballpark,4559
Bowling Green,OH,Doyt Perry Stadium,24000
Bowling Green,OH,Slater Family Ice Arena,5000
Bowling Green,OH,Stroh Center,4347
Bozeman,MT,Bobcat Stadium,17777
Bozeman,MT,Worthington Arena,6772
Brampton,ON,Powerade Centre,5000
Bradenton,FL,LECOM Field,8500
Brandon,MB,Keystone Centre,5102
Bridgeport,CT,Webster Bank Arena,8412
Bridgeview,IL,SeatGeak Stadium,20000
Bridgewater,NJ,TD Bank Ballpark,6100
Bristol,CT,Muzzy Field,4900
Brockport,NY,Eunice Kennedy Shriver Stadium,11000
Brockton,MA,Campanelli Stadium,4750
Bronx,NY,Rose Hill Gym,3200
Bronx,NY,Yankee Stadium,47422
Brookings,SD,Dana J. Dykhouse Stadium,19340
Brookings,SD,Frost Arena,6063
Brooklyn,NY,MCU Park,7500
Brooklyn,NY,Barclays Center,17732
Brownwood,TX,Brownwood Coliseum,4000
Buffalo,NY,KeyBank Center,19070
Buffalo,NY,Sahlen Field,16907
Buford,GA,Buford City Arena,5500
Burlington,NC,Burlington Athletic Stadium,3500
Burlington,VT,Centennial Field,4415
Burlington,VT,Gutterson Fieldhouse,4007
Butte,MT,Butte Civic Center,6250
Calgary,AB,McMahon Stadium,35400
Calgary,AB,Scotiabank Saddledome,19289
California,PA,Cal U Convocation Center,5000
Campbellton,NB,Cambellton Civic Center,3500
Canton,OH,Tom Benson Hall of Fame Stadium,22375
Canton,OH,Canton Memorial Field House,5280
Canton,OH,Canton Memorial Civic Center,3500
Canyon,TX,Kimbrough Memorial Stadium,20000
Canyon,TX,First United Bank Center,4800
Cape Girardeau,MO,Houck Stadium,10000
Cape Girardeau,MO,Show Me Center,7000
Carbondale,IL,Saluki Stadium,15000
Carbondale,IL,SIU Arena,8284
Carrollton,GA,University Stadium,10000
Carrollton,GA,The Coliseum,7000
Carson,CA,Dignity Health Sports Park,27000
Carson,CA,Torodome,4200
Cary,NC,WakeMed Soccer Park,10000
Casper,WY,Casper Events Center,8395
Catonsville,MD,UMBC Event Center,4654
Cedar City,UT,Eccles Coliseum,8500
Cedar City,UT,America First Event Center,5300
Cedar Falls,IA,Dome,16324
Cedar Falls,IA,McLeod Center,6650
Cedar Park,TX,HEB Center at Cedar Park,6863
Cedar Rapids,IA,U.S. Cellular Center,6500
Cedar Rapids,IA,Veterans Memorial Stadium,5300
Cedar Rapids,IA,Cedar Rapids Ice Arena,3800
Central Islip,NY,Bethpage Ballpark,6002
Champaign,IL,Memorial Stadium,60670
Champaign,IL,State Farm Center,15544
Champaign,IL,George Huff Hall,4536
Chapel Hill,NC,Kenan Stadium,63000
Chapel Hill,NC,Dean E. Smith Center,21750
Chapel Hill,NC,Carmichael Arena,6822
Chapel Hill,NC,Boshamer Stadium,4100
Charleston,IL,O'Brien Field,10000
Charleston,IL,Lantz Arena,5300
Charleston,SC,Johnson Hagood Stadium,11332
Charleston,SC,Volvo Car Stadium,10200
Charleston,SC,McAlister Field House,6000
Charleston,SC,"Joseph P. Riley, Jr. Park",5549
Charleston,SC,TD Arena,5100
Charleston,WV,University of Charleston Stadium,18500
Charleston,WV,Charleston Civic Center,12337
Charleston,WV,Appalachian Power Park,4500
Charlotte,NC,Bank of America Stadium,75525
Charlotte,NC,Spectrum Center,19026
Charlotte,NC,Jerry Richardson Stadium,15314
Charlotte,NC,BB&T Ballpark,10200
Charlotte,NC,Halton Arena,9105
Charlotte,NC,Bojangles’ Coliseum,8300
Charlottesville,VA,Scott Stadium,61500
Charlottesville,VA,John Paul Jones Arena,14623
Charlottesville,VA,Davenport Field,5500
Charlottetown,PE,Eastlink Centre,3690
Chattanooga,TN,Finley Stadium,20668
Chattanooga,TN,McKenzie Arena,10995
Chattanooga,TN,AT&T Field,6360
Chattanooga,TN,Maclellan Gym,4177
Cheney,WA,Roos Field,8600
Cheney,WA,Reese Court,5000
Chester,PA,Subaru Stadium,18500
Chestnut Hill,MA,Alumni Stadium,44500
Chestnut Hill,MA,Conte Forum,8606
Chicago,IL,Soldier Field,61500
Chicago,IL,Wrigley Field,41160
Chicago,IL,Guaranteed Rate Field,40615
Chicago,IL,United Center,19717
Chicago,IL,Wintrust Arena,10387
Chicago,IL,Credit Union 1 Arena,8000
Chicago,IL,Jones Convocation Center,7000
Chicago,IL,Gentile Arena,4963
Chico,CA,Nettleton Stadium,4200
Chicoutimi,QC,Vézina Centre,3759
Chilliwack,BC,Prospera Centre,5058
Cincinnati,OH,Paul Brown Stadium,65515
Cincinnati,OH,Great American Ball Park,42319
Cincinnati,OH,Nippert Stadium,40000
Cincinnati,OH,Heritage Bank Center,12823
Cincinnati,OH,Fifth Third Arena,12012
Cincinnati,OH,Cintas Center,10224
Clarksville,TN,Fortera Stadium,10000
Clarksville,TN,Winfield Dunn Center,7257
Clearwater,FL,Spectrum Field,7000
Clemson,SC,Memorial Stadium,81500
Clemson,SC,Littlejohn Coliseum,9000
Clemson,SC,Doug Kingsmore Stadium,6272
Cleveland,OH,FirstEnergy Stadium,67895
Cleveland,OH,Progressive Field,35051
Cleveland,OH,Rocket Mortgage FieldHouse,19432
Cleveland,OH,Wolstein Center,13610
Clinton,IA,NelsonCorp Field,4000
Clinton,MS,Hale Stadium,8500
Clinton,MS,A.E. Wood Coliseum,3800
College Park,GA,Gateway Center Arena,3500
College Park,MD,Maryland Stadium,51802
College Park,MD,Xfinity Center,17950
College Station,TX,Kyle Field,102733
 College Station,TX,Reed Arena,12989
College Station,TX,Blue Bell Park,6100
Colorado Springs,CO,Falcon Stadium,46692
Colorado Springs,CO,UCHealth Park,8500
Colorado Springs,CO,Broadmoor World Arena,7380
Colorado Springs,CO,Clune Arena,5843
Columbia,MO,Memorial Stadium,71168
Columbia,MO,Mizzou Arena,15061
Columbia,MO,Hearnes Center,13661
Columbia,SC,Brice Stadium,80250
Columbia,SC,Colonial Life Arena,18000
Columbia,SC,Charlie W. Johnson Stadium,11000
Columbia,SC,Spirit Communications Park,7501
Columbia,SC,Founders Park,6400
Columbus,GA,AJ McClung Memorial Stadium,15000
Columbus,GA,Columbus Civic Center,7573
Columbus,GA,Frank G. Lumpkin Jr. Center,5200
Columbus,OH,Ohio Stadium,104944
Columbus,OH,MAPFRE Stadium,19968
 Columbus,OH,Value City Arena,19049
Columbus,OH,Nationwide Arena,18144
 Columbus,OH,St. John Arena,13276
Columbus,OH,Huntington Park,10100
 Columbus,OH,Jesse Owens Memorial Stadium,8000
Columbus,OH,Bill Davis Stadium,4450
 Columbus,OH,Covelli Center,3700
Commerce,TX,Memorial Stadium,11582
Commerce,TX,C Field House,5000
Commerce City,CO,Dick’s Sporting Goods Park,18061
Comstock Park,MI,Fifth Third Ballpark,7696
Conway,AR,Estes Stadium,9000
Conway,AR,Farris Center,5500
Conway,SC,Brooks Stadium,20000
Cookeville,TN,Tucker Stadium,16500
Cookeville,TN,Eblen Center,7500
 Coral Gables,FL,Watsco Center,7972
 Coral Gables,FL,Alex Rodriguez Park,4999
Corbin,KY,Corbin Arena,4966
Cornwall,ON,Ed Lumley Arena,4828
Corpus Christi,TX,American Bank Center,8100
Corpus Christi,TX,Whataburger Field,5050
Corvallis,OR,Reser Stadium,43363
Corvallis,OR,Gill Coliseum,9604
Cullowhee,NC,E.J. Whitmire Stadium,13742
Cullowhee,NC,Ramsey Center,7826
Cypress,TX,Berry Center,8300
Dahlonega,GA,UNG Convocation Center,3600
Dallas,TX,Cotton Bowl,92100
Dallas,TX,Gerald J. Ford Stadium,32000
Dallas,TX,American Airlines Center,19200
Dallas,TX,Ellis Davis Field House,7500
Dallas,TX,Moody Coliseum,7000
Danville,IL,Danville Stadium,4500
Davenport,IA,Brady Street Stadium,10000
Davenport,IA,Modern Woodman Park,4024
 Davidson,NC,Belk Arena,5223
Davie,FL,Don Taft University Center,4500
Davis,CA,Aggie Stadium,10849
Davis,CA,The Pavilion,5931
Davis,CA,Dobbins Stadium,3500
Dayton,OH,UD Arena,13455
Dayton,OH,Welcome Stadium,11000
Dayton,OH,Nutter Center,8000
Dayton,OH,Fifth Third Field,7230
Dayton,OH,Frericks Center,5000
Daytona Beach,FL,Daytona Stadium,9601
Daytona Beach,FL,Jackie Robinson Ballpark,4200
DeKalb,IL,Huskie Stadium,23595
DeKalb,IL,NIU Convocation Center,9100
DeLand,FL,Edmunds Center,4000
Delaware,OH,Selby Stadium,9100
Delray Beach,FL,Delray Beach Stadium,8200
Denton,TX,Apogee Stadium,30850
Denton,TX,The Super Pit,10500
Denver,CO,Empower Field at Mile High,76125
Denver,CO,Coors Field,50398
Denver,CO,Pepsi Center,17809
Denver,CO,Denver Coliseum,9340
Denver,CO,Magness Arena,6026
Des Moines,IA,Wells Fargo Arena,15181
Des Moines,IA,Drake Stadium,14557
Des Moines,IA,Principal Park,11500
Des Moines,IA,Knapp Center,7152
Detroit,MI,Ford Field,65000
Detroit,MI,Comerica Park,41299
Detroit,MI,Little Caesars Arena,20000
Detroit,MI,Calihan Hall,8295
Dodge City,KS,United Wireless Arena,4050
Duluth,GA,Infinite Energy Center,11355
Duluth,MN,AMSOIL Arena,6756
Duluth,MN,Wade Stadium,4200
Dunedin,FL,TD Ballpark,5509
Durham,NC,Wallace Wade Stadium,40004
Durham,NC,Riddick Stadium,10000
Durham,NC,Durham Bulls Athletic Park,10000
Durham,NC,Cameron Indoor Stadium,9314
Durham,NH,Wildcat Stadium,11015
Durham,NH,Whittemore Center,6501
East Hartford,CT,Rentschler Field,38066
Eastlake,OH,Classic Park,7040
East Lansing,MI,Spartan Stadium,75005
East Lansing,MI,Breslin Center,14797
East Lansing,MI,Munn Ice Arena,6114
East Lansing,MI,Jenison Field House,5017
Easton,PA,Fisher Stadium,13132
East Rutherford,NJ,MetLife Stadium,82500
Edinburg,TX,B Park,9700
Edinburg,TX,Bert Ogden Arena,7688
Edinburg,TX,UTRGV Baseball Stadium,5000
Edmond,OK,Wantland Stadium,10000
Edmonton,AB,Commonwealth Stadium,56302
Edmonton,AB,Rogers Place,18641
Edmonton,AB,RE/MAX Field,9000
Edwardsville,IL,Vadalabene Center,4000
Elizabeth City,NC,R.L. Vaughn Center,5000
Elkhart,IN,North Side Gymnasium,7373
Elmira,NY,Dunn Field,4486
Elmira,NY,First Arena,3784
Elon,NC,Rhodes Stadium,11250
Elon,NC,Schar Center,5100
El Paso,TX,Sun Bowl,51500
El Paso,TX,Don Haskins Center,11892
El Paso,TX,Southwest University Park,7500
El Paso,TX,Memorial Gym,5000
Emporia,KS,White Auditorium,5000
Enid,OK,Central National Bank Center,3887
Erie,PA,Erie Veterans Memorial Stadium,10000
Erie,PA,Erie Insurance Arena,6833
Erie,PA,UPMC Park,4200
Estero,FL,Hertz Arena,7181
Ettrick,VA,Multipurpose Center,5200
Eugene,OR,Autzen Stadium,54000
Eugene,OR,Matthew Knight Arena,12364
Eugene,OR,PK Park,4000
Evanston,IL,Ryan Field,47130
Evanston,IL,Ryan Arena,7039
Evansville,IN,Ford Center,8930
Evansville,IN,Bosse Field,5110
Everett,WA,Angel of the Winds Arena,8149
Everett,WA,Funko Field,3682
Fairbanks,AK,Carlson Center,4595
Fairfax,VA,EagleBank Arena,9523
Fairfield,AL,Alumni Stadium,8500
Fargo,ND,Fargodome,18700
Fargo,ND,Scheels Center,5644
Fargo,ND,Scheels Arena,5000
Fargo,ND,Newman Outdoor Field,4422
Fayetteville,AR,Reynolds Razorback Stadium,76000
Fayetteville,AR,Bud Walton Arena,19200
Fayetteville,AR,Barnhill Arena,8500
Fayetteville,AR,Baum Stadium,8237
Fayetteville,NC,Crown Coliseum,8500
Fayetteville,NC,Segra Stadium,5290
Fayetteville,NC,Felton J. Capel Arena,5000
Fishkill,NY,Dutchess Stadium,4494
Flagstaff,AZ,J. Lawrence Walkup Skydome,10000
Flint,MI,Atwood Stadium,11000
Flint,MI,Dort Federal Event Center,3960
Florence,AL,Braly Municipal Stadium,14215
Florence,AL,Flowers Hall,3500
Florence,KY,UC Health Stadium,4725
Florence,SC,Florence Civic Center,7686
Fort Collins,CO,Canvas Stadium,36500
Fort Collins,CO,Moby Arena,8745
Fort Lauderdale,FL,Inter Miami CF Stadium,18000
Fort Myers,FL,JetBlue Park,10823
Fort Myers,FL,Hammond Stadium,9300
Fort Myers,FL,Alico Arena,4333
Fort Myers,FL,Suncoast Credit Union Arena,3500
Fort Valley,GA,Wildcat Stadium,10000
Fort Valley,GA,HPE Complex,5500
Fort Wayne,IN,Allen County War Memorial Coliseum,10500
Fort Wayne,IN,Parkview Field,6516
Fort Worth,TX,Amon G. Carter Stadium,45000
Fort Worth,TX,Farrington Field,18500
Fort Worth,TX,Dickies Arena,13300
 Fort Worth,TX,Ed and Rae Schollmaier Arena,6700
Fort Worth,TX,Greines Activity Center,5000
 Fort Worth,TX,Lupton Stadium,4500
Foxborough,MA,Gillette Stadium,65878
